GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Go4Fit,be.appelicious.services,ReservationServiceImpl,600,22,46,0,122,7,40,3,17,3
Go4Fit,be.appelicious.services,CustomerServiceImpl,38,0,2,0,9,0,6,0,5,0
Go4Fit,be.appelicious.Helpers,RoleHelper,3,0,0,0,1,0,1,0,1,0
Go4Fit,be.appelicious,SecurityConfiguration,135,0,0,0,28,0,4,0,4,0
Go4Fit,be.appelicious,Go4FitMain,19,3,0,0,4,1,1,1,1,1
Go4Fit,be.appelicious.aspects,GetAspect,37,0,0,0,9,0,5,0,5,0
Go4Fit,be.appelicious.filters,DataFilter,47,3,2,0,8,1,2,1,1,1
Go4Fit,be.appelicious.controllers,CustomerController,182,0,14,0,41,0,13,0,6,0
Go4Fit,be.appelicious.controllers,ReservationController,177,0,6,0,32,0,16,0,13,0
Go4Fit,be.appelicious.controllers,TrainingsTypeController,3,0,0,0,1,0,1,0,1,0
Go4Fit,be.appelicious.domain,User,49,16,0,0,20,6,14,3,14,3
Go4Fit,be.appelicious.domain,Reservation,16,20,0,0,6,8,5,4,5,4
